"Name","Location","Region / Category","Guide status","Why it is listed","Google Maps URL","Guide / booking URL"
"Farès","Fares Lisboa Rua de Sao Paulo","CAIS DO SODRÉ · MIDDLE EASTERN","RECEIVED RECOMMENDATION · PRIORITY","Middle Eastern/Mediterranean sharing plates, strong vegetarian coverage, and inventive cocktails in a lively central room.","https://www.google.com/maps/search/?api=1&query=Fares+Lisboa+Rua+de+Sao+Paulo","https://restaurants.umai.io/restaurants/fares"
"Fauna & Flora","Fauna Flora Santos Lisbon","SANTOS / ANJOS · BRUNCH","RECEIVED RECOMMENDATION","Plant-forward, photogenic all-day brunch with smoothie bowls, pancakes, eggs, and good vegan/GF coverage.","https://www.google.com/maps/search/?api=1&query=Fauna+Flora+Santos+Lisbon","https://www.faunafloralisboa.com/"
"Faz Frio","Faz Frio Lisbon","PRÍNCIPE REAL · HISTORIC TABERNA","RECEIVED RECOMMENDATION · CAVEAT","Historic taberna atmosphere with bacalhau, octopus salad, pork cheeks, and peixinhos da horta.","https://www.google.com/maps/search/?api=1&query=Faz+Frio+Lisbon","https://fazfrio.pt/"
"Heim Café","Heim Cafe Lisbon","SANTOS · BRUNCH","RECEIVED RECOMMENDATION · PRIORITY","The strongest all-around brunch recommendation: egg dishes, pancakes, avocado toast, and specialty coffee.","https://www.google.com/maps/search/?api=1&query=Heim+Cafe+Lisbon","https://www.instagram.com/heimcafe/"
"Kefi Greek Bistro","Kefi Greek Bistro Lisbon","ESTRELA · GREEK LUNCH","RECEIVED RECOMMENDATION","Modern Greek mezze, souvlaki, dolmas, calamari, and loukoumades beside the Estrela area.","https://www.google.com/maps/search/?api=1&query=Kefi+Greek+Bistro+Lisbon","https://www.instagram.com/kefi.lisbon/"
"Leonetta","Leonetta Lisbon","BAIRRO ALTO · ITALIAN","RECEIVED RECOMMENDATION","Warm, pasta-focused Italian with vegetarian and vegan options near Príncipe Real.","https://www.google.com/maps/search/?api=1&query=Leonetta+Lisbon","https://reservation.umai.io/en/widget/leonetta"
"Mila Café","Mila Cafe Santos Lisbon","SANTOS · BRUNCH","RECEIVED RECOMMENDATION","Relaxed all-day brunch, specialty coffee, salad bar, terrace, and generally shorter queues than Heim.","https://www.google.com/maps/search/?api=1&query=Mila+Cafe+Santos+Lisbon","https://milas.substack.com/"
"O Velho Eurico","O Velho Eurico Lisbon","MOURARIA · NEO-TASCA","Guide recommendation","Lively, modernized tasca cooking without sanding away Lisbon’s personality.","https://www.google.com/maps/search/?api=1&query=O+Velho+Eurico+Lisbon","https://www.instagram.com/ovelhoeurico/"
"Oyster & Margarita","Oyster and Margarita Lisbon","PRÍNCIPE REAL · OYSTERS + COCKTAILS","RECEIVED RECOMMENDATION","Tiny seafood-and-cocktail bar pairing Setúbal oysters with classic, spicy, and mezcal margaritas.","https://www.google.com/maps/search/?api=1&query=Oyster+and+Margarita+Lisbon","https://www.instagram.com/oysterandmargarita/"
"Palácio Chiado","Palacio Chiado Lisbon","CHIADO · PALACE SETTING","RECEIVED RECOMMENDATION · DRINKS ONLY","Grand 18th-century interiors and spectacle-led dining in central Chiado.","https://www.google.com/maps/search/?api=1&query=Palacio+Chiado+Lisbon","https://www.palaciochiado.pt/en/restaurant/"
"Palácio do Grilo","Palacio do Grilo Lisbon","BEATO · DINNER PERFORMANCE","RECEIVED RECOMMENDATION · HIGH FIT","A 350-year-old palace where performers move through the rooms during dinner; theatrical, romantic, and genuinely unusual.","https://www.google.com/maps/search/?api=1&query=Palacio+do+Grilo+Lisbon","https://palaciogrilo.com/en/"
"Panda Cantina","Panda Cantina Rua da Prata Lisbon","BAIXA · RAMEN","RECEIVED RECOMMENDATION","Fast, inexpensive Sichuan-style ramen with selectable heat and mochi dessert.","https://www.google.com/maps/search/?api=1&query=Panda+Cantina+Rua+da+Prata+Lisbon","https://www.google.com/maps/search/?api=1&query=Panda+Cantina+Rua+da+Prata+Lisbon"
"Pastaria","Pastaria Principe Real Lisbon","PRÍNCIPE REAL / ANJOS · PASTA","RECEIVED RECOMMENDATION","Casual homemade pasta and tiramisu at friendly prices; useful when another Portuguese meal feels like too much.","https://www.google.com/maps/search/?api=1&query=Pastaria+Principe+Real+Lisbon","https://www.thefork.com/restaurant/pastaria-principe-real-r818199"
"Pastéis de Belém","Pasteis de Belem Lisbon Portugal","Belém · pastry","Itinerary stop","The original warm Belém custard tart.","https://www.google.com/maps/search/?api=1&query=Pasteis+de+Belem+Lisbon","https://pasteisdebelem.pt/en/"
"Ponto Final","Ponto Final Almada","CACILHAS · WATERFRONT PORTUGUESE","RECEIVED RECOMMENDATION · VIEW FIRST","Traditional seafood at the water’s edge with the iconic Lisbon skyline and 25 de Abril Bridge view.","https://www.google.com/maps/search/?api=1&query=Ponto+Final+Almada","https://www.google.com/maps/search/?api=1&query=Ponto+Final+Almada"
"Prado","Prado Restaurant Lisbon","BAIXA · MODERN PORTUGUESE","Guide recommendation","Seasonal, vegetable-aware modern Portuguese cooking in a calm, handsome room.","https://www.google.com/maps/search/?api=1&query=Prado+Restaurant+Lisbon","https://www.pradorestaurante.com/"
"Prado Mercearia / Wine Bar","Prado Mercearia Lisbon","BAIXA · WINE + LIGHT LUNCH","RECEIVED RECOMMENDATION","The casual sibling beside Prado: Portuguese sandwiches, cakes, charcuterie, artisan groceries, and natural wine.","https://www.google.com/maps/search/?api=1&query=Prado+Mercearia+Lisbon","https://www.pradorestaurante.com/"
"Seagull Method Café","Seagull Method Cafe Lisbon","MERCÊS · BRUNCH","RECEIVED RECOMMENDATION","Creative European brunch and coffee in a cozy neighborhood room near Príncipe Real.","https://www.google.com/maps/search/?api=1&query=Seagull+Method+Cafe+Lisbon","https://www.google.com/maps/search/?api=1&query=Seagull+Method+Cafe+Lisbon"
"Senhor Uva","Senhor Uva Lisbon","ESTRELA · NATURAL WINE","Guide recommendation","Natural wine and unusually thoughtful botanical cooking; can function as drinks plus dinner.","https://www.google.com/maps/search/?api=1&query=Senhor+Uva+Lisbon","https://senhoruva.com/information"
"Toma Lá Dá Cá","Toma La Da Ca Lisbon","BAIRRO ALTO · PORTUGUESE TASCA","RECEIVED RECOMMENDATION","Straightforward, inexpensive Portuguese grilling—fish, octopus, veal—with little scene-making.","https://www.google.com/maps/search/?api=1&query=Toma+La+Da+Ca+Lisbon","https://www.google.com/maps/search/?api=1&query=Toma+La+Da+Ca+Lisbon"
"Tricky’s","Trickys Lisbon Rua da Boavista","CAIS DO SODRÉ · CREATIVE PLATES","RECEIVED RECOMMENDATION · HIGH FIT","Creative international small plates, natural wine, and an unbuttoned Cais do Sodré room.","https://www.google.com/maps/search/?api=1&query=Trickys+Lisbon+Rua+da+Boavista","https://cometotrickys.com/"
