"Name","Location","Category","Priority","What to buy","Price band","Hours / caveat","Google Maps URL","Official URL"
"Retrosaria Rosa Pomar","Rua Maria Andrade 50A Lisbon Portugal","Portuguese wool and craft","Strong optional","Native Portuguese sheep-breed yarn and living textile heritage","€8–25","Tue–Sat 10:00–19:00; closed Sun–Mon","https://www.google.com/maps/search/?api=1&query=Retrosaria+Rosa+Pomar+Lisbon","https://retrosaria.rosapomar.com/"
"Louie Louie","Escadinhas do Santo Espirito da Pedreira 3 Lisbon Portugal","Independent records","Must for vinyl","Excellent Portuguese-music section and independent new/used vinyl","€10–40","Mon–Sat 11:00–19:30; Sun afternoon","https://www.google.com/maps/search/?api=1&query=Louie+Louie+Lisbon+Record+Store","https://louielouie.biz/"
"Bertrand Chiado","Rua Garrett 73 Lisbon Portugal","Historic bookstore","Strong optional","Oldest operating bookstore, with English-language and Portuguese literature sections","€10–30","Daily 09:00–22:00","https://www.google.com/maps/search/?api=1&query=Bertrand+Chiado+Lisbon","https://www.bertrand.pt/"
"Ler Devagar","LX Factory Rua Rodrigues de Faria 103 Lisbon Portugal","Independent art and design bookstore","Must at LX Factory","Cavernous printworks bookstore with art, photography, and design books","€10–40","Daily; typically noon to late","https://www.google.com/maps/search/?api=1&query=Ler+Devagar+LX+Factory","https://www.lerdevagar.com/"
"The Feeting Room — LX Factory","LX Factory Rua Rodrigues de Faria 103 Lisbon Portugal","Independent fashion concept store","Strong optional","Curated Portuguese and international footwear and apparel next to Ler Devagar","€40–300","Daily approximately 10:00–20:00","https://www.google.com/maps/search/?api=1&query=The+Feeting+Room+LX+Factory+Lisbon","https://thefeetingroom.com/"
"Vista Alegre Chiado","Largo do Chiado 20 Lisbon Portugal","Portuguese porcelain","Strong design stop","Historic quiet-luxury porcelain and tableware","€20–500+","Daily approximately 10:00–20:00","https://www.google.com/maps/search/?api=1&query=Vista+Alegre+Chiado+Lisbon","https://vistaalegre.com/"
"Loja da Burel","Rua Serpa Pinto 15B Lisbon Portugal","Portuguese wool textiles","Natural-fiber pick","Serra da Estrela wool jackets, capes, bags, blankets, and home textiles","€30–250","Mon–Sat 10:00–20:00; Sun 11:00–19:00","https://www.google.com/maps/search/?api=1&query=Loja+da+Burel+Lisbon","https://burelfactory.com/"
"A Outra Face da Lua","Rua da Assuncao 22 Lisbon Portugal","Vintage clothing","Strong optional","Long-running, approachable vintage clothing store in Baixa","€15–80","Mon–Sat 10:00–20:00; Sun noon–19:00","https://www.google.com/maps/search/?api=1&query=A+Outra+Face+da+Lua+Lisbon","https://www.instagram.com/aoutrafacedalua/"
"Fabrico Infinito","Rua Dom Pedro V 74 Lisbon Portugal","Portuguese design and vintage","Explore if open","Design objects, decor, vintage clothing, gallery, and cafe near Príncipe Real","€20–200","Hours not firmly published; verify same day","https://www.google.com/maps/search/?api=1&query=Fabrico+Infinito+Lisbon","https://www.instagram.com/fabricoinfinito/"
"The Feeting Room — Chiado","Calcada do Sacramento 26 Lisbon Portugal","Independent fashion concept store","Strong optional","Central multi-brand footwear and apparel boutique","€40–300","Verify current hours","https://www.google.com/maps/search/?api=1&query=The+Feeting+Room+Chiado+Lisbon","https://thefeetingroom.com/"
