"Name","Location","Region / Category","Guide status","Why it is listed","Google Maps URL","Guide / booking URL"
"Panda Cantina","Panda Cantina Rua da Prata Lisbon","BAIXA · RAMEN","RECEIVED RECOMMENDATION","Fast, inexpensive Sichuan-style ramen with selectable heat and mochi dessert.","https://www.google.com/maps/search/?api=1&query=Panda+Cantina+Rua+da+Prata+Lisbon","https://www.google.com/maps/search/?api=1&query=Panda+Cantina+Rua+da+Prata+Lisbon"
"Pastaria","Pastaria Principe Real Lisbon","PRÍNCIPE REAL / ANJOS · PASTA","RECEIVED RECOMMENDATION","Casual homemade pasta and tiramisu at friendly prices; useful when another Portuguese meal feels like too much.","https://www.google.com/maps/search/?api=1&query=Pastaria+Principe+Real+Lisbon","https://www.thefork.com/restaurant/pastaria-principe-real-r818199"
"Pastéis de Belém","Pasteis de Belem Lisbon Portugal","Belém · pastry","Itinerary stop","The original warm Belém custard tart.","https://www.google.com/maps/search/?api=1&query=Pasteis+de+Belem+Lisbon","https://pasteisdebelem.pt/en/"
"Ponto Final","Ponto Final Almada","CACILHAS · WATERFRONT PORTUGUESE","RECEIVED RECOMMENDATION · VIEW FIRST","Traditional seafood at the water’s edge with the iconic Lisbon skyline and 25 de Abril Bridge view.","https://www.google.com/maps/search/?api=1&query=Ponto+Final+Almada","https://www.google.com/maps/search/?api=1&query=Ponto+Final+Almada"
"Prado","Prado Restaurant Lisbon","BAIXA · MODERN PORTUGUESE","Guide recommendation","Seasonal, vegetable-aware modern Portuguese cooking in a calm, handsome room.","https://www.google.com/maps/search/?api=1&query=Prado+Restaurant+Lisbon","https://www.pradorestaurante.com/"
"Prado Mercearia / Wine Bar","Prado Mercearia Lisbon","BAIXA · WINE + LIGHT LUNCH","RECEIVED RECOMMENDATION","The casual sibling beside Prado: Portuguese sandwiches, cakes, charcuterie, artisan groceries, and natural wine.","https://www.google.com/maps/search/?api=1&query=Prado+Mercearia+Lisbon","https://www.pradorestaurante.com/"
"Seagull Method Café","Seagull Method Cafe Lisbon","MERCÊS · BRUNCH","RECEIVED RECOMMENDATION","Creative European brunch and coffee in a cozy neighborhood room near Príncipe Real.","https://www.google.com/maps/search/?api=1&query=Seagull+Method+Cafe+Lisbon","https://www.google.com/maps/search/?api=1&query=Seagull+Method+Cafe+Lisbon"
"Senhor Uva","Senhor Uva Lisbon","ESTRELA · NATURAL WINE","Guide recommendation","Natural wine and unusually thoughtful botanical cooking; can function as drinks plus dinner.","https://www.google.com/maps/search/?api=1&query=Senhor+Uva+Lisbon","https://senhoruva.com/information"
"Toma Lá Dá Cá","Toma La Da Ca Lisbon","BAIRRO ALTO · PORTUGUESE TASCA","RECEIVED RECOMMENDATION","Straightforward, inexpensive Portuguese grilling—fish, octopus, veal—with little scene-making.","https://www.google.com/maps/search/?api=1&query=Toma+La+Da+Ca+Lisbon","https://www.google.com/maps/search/?api=1&query=Toma+La+Da+Ca+Lisbon"
"Tricky’s","Trickys Lisbon Rua da Boavista","CAIS DO SODRÉ · CREATIVE PLATES","RECEIVED RECOMMENDATION · HIGH FIT","Creative international small plates, natural wine, and an unbuttoned Cais do Sodré room.","https://www.google.com/maps/search/?api=1&query=Trickys+Lisbon+Rua+da+Boavista","https://cometotrickys.com/"
"Ákua","Akua Chef Julio Pereira Funchal","FUNCHAL · SEAFOOD","Guide recommendation","Chef Júlio Pereira’s seafood-forward, contemporary Madeiran restaurant. A strong post-PR8 dinner.","https://www.google.com/maps/search/?api=1&query=Akua+Chef+Julio+Pereira+Funchal","https://www.thefork.pt/restaurante/akua-by-chef-julio-pereira-r499309"
"Armazém do Sal","Armazem do Sal Funchal","FUNCHAL · MADEIRAN","Guide recommendation","Reliable modern Portuguese/Madeiran cooking in a handsome former salt warehouse.","https://www.google.com/maps/search/?api=1&query=Armazem+do+Sal+Funchal","https://www.armazemdosal.com/"
"Avista","Avista Funchal","FUNCHAL · VIEW","Guide recommendation","Michelin-recommended sharing plates and an exceptional ocean terrace. A polished alternative to a formal tasting menu.","https://www.google.com/maps/search/?api=1&query=Avista+Funchal","https://www.portobay.com/en/restaurants/restaurants-madeira/avista"
"Casal da Penha","Casal da Penha Funchal","FUNCHAL · TRADITIONAL","Guide recommendation","Warm, traditional seafood and Madeiran dishes with a terrace; less performative than many Old Town options.","https://www.google.com/maps/search/?api=1&query=Casal+da+Penha+Funchal","https://casaldapenha.com/"
"Kampo","Kampo Funchal","FUNCHAL · MODERN","Guide recommendation","Creative, product-driven cooking with more emphasis on Madeira’s land and meat than Ákua.","https://www.google.com/maps/search/?api=1&query=Kampo+Funchal","https://kampo.pt/"
"Muralha’s Bar","Muralhas Bar Canical","CANIÇAL · SEAFOOD","Guide recommendation","Unfussy post-PR8 fish, limpets, octopus, and local portions in Caniçal.","https://www.google.com/maps/search/?api=1&query=Muralhas+Bar+Canical","https://www.facebook.com/MuralhasBarCanical"
"O Polar","O Polar Camara de Lobos Madeira","CÂMARA DE LOBOS · ESPETADA","Guide recommendation","No-frills Madeiran beef espetada, milho frito, and bolo do caco. Go for the food, not decor.","https://www.google.com/maps/search/?api=1&query=O+Polar+Camara+de+Lobos+Madeira","https://www.google.com/maps/search/?api=1&query=O+Polar+Camara+de+Lobos+Madeira"
"Adega São Nicolau","Adega Sao Nicolau Porto","PORTO · TRADITIONAL","Guide recommendation","Compact Ribeira classic for octopus, tripas, and hearty northern Portuguese cooking.","https://www.google.com/maps/search/?api=1&query=Adega+Sao+Nicolau+Porto","https://adegasnicolau.eatbu.com/?lang=en"
"Café Santiago","Cafe Santiago Porto Portugal","Porto · francesinha","Regional specialty","Classic place to split Porto’s iconic francesinha.","https://www.google.com/maps/search/?api=1&query=Cafe+Santiago+Porto","https://cafesantiago.pt/"
"Cozinha das Flores","Cozinha das Flores Porto","PORTO · MODERN","Guide recommendation","Nuno Mendes’s polished but approachable contemporary Portuguese cooking in a central location.","https://www.google.com/maps/search/?api=1&query=Cozinha+das+Flores+Porto","https://cozinhadasflores.com/"
"Gazela","Gazela Cachorrinhos Porto Portugal","Porto · cachorrinho","Regional specialty","The snackable Porto classic: a thin, spicy cachorrinho.","https://www.google.com/maps/search/?api=1&query=Gazela+Cachorrinhos+Porto","https://www.google.com/maps/search/?api=1&query=Gazela+Cachorrinhos+Porto"
"O Gaveto","O Gaveto Matosinhos","MATOSINHOS · SEAFOOD","Guide recommendation","A Porto institution for shellfish, barnacles, grilled fish, and seafood rice; ideal after the Foz walk.","https://www.google.com/maps/search/?api=1&query=O+Gaveto+Matosinhos","https://www.google.com/maps/search/?api=1&query=O+Gaveto+Matosinhos"
"Taberna dos Mercadores","Taberna dos Mercadores Porto","PORTO · TRADITIONAL","Guide recommendation","Tiny, high-energy room and strong seafood/rice dishes. More difficult table than Adega São Nicolau.","https://www.google.com/maps/search/?api=1&query=Taberna+dos+Mercadores+Porto","https://tabernadosmercadores.eatbu.com/?lang=en"
